행정동코드,읍면동명,거래수,년,평균거래금액,지니계수_거래금액,평균평당거래금액,지니계수_평당거래금액
1141058500,신촌동,5,2024,54900.0,0.195,2246.0,0.066
1141061500,연희동,39,2024,64146.2,0.333,3290.6,0.118
1141065500,홍제제2동,84,2024,73576.7,0.158,3377.3,0.127
1141068500,홍은제2동,63,2024,68715.9,0.141,2829.3,0.139
1141069000,남가좌제1동,129,2024,95993.4,0.148,4291.3,0.097
1141071000,북가좌제1동,45,2024,96017.8,0.156,4009.3,0.126
1144055500,아현동,122,2024,145023.0,0.143,6516.7,0.117
1144056500,공덕동,104,2024,116690.1,0.109,4799.5,0.111
1144058500,도화동,5,2024,90800.0,0.143,4117.3,0.09
1144059000,용강동,97,2024,140847.9,0.152,6289.8,0.106
1144060000,대흥동,37,2024,143720.3,0.101,6425.8,0.124
1144061000,염리동,62,2024,127223.4,0.115,5882.5,0.098
1144063000,신수동,10,2024,151950.0,0.173,6397.4,0.093
1144065500,서강동,56,2024,130800.0,0.164,5163.6,0.089
1144066000,서교동,21,2024,45371.4,0.338,3081.9,0.116
1144068000,합정동,5,2024,129900.0,0.272,4692.7,0.125
1144071000,연남동,7,2024,91785.7,0.161,3874.1,0.066
1144072000,성산제1동,45,2024,89115.6,0.106,4885.8,0.155
1144073000,성산제2동,17,2024,83076.5,0.077,3726.6,0.062
1144074000,상암동,40,2024,98751.2,0.112,4560.4,0.054
1147055000,목5동,162,2024,149157.1,0.239,5587.0,0.197
1147061100,신월7동,193,2024,66882.6,0.203,3188.1,0.181
1147068000,신정7동,215,2024,107450.5,0.231,4729.3,0.19
1150051000,염창동,101,2024,72068.2,0.165,4319.7,0.085
1150053500,등촌제3동,115,2024,71517.4,0.168,3546.6,0.102
1150061100,발산제1동,83,2024,106375.9,0.178,4401.2,0.148
1150061500,우장산동,218,2024,77171.4,0.286,3475.8,0.201
1150062000,공항동,99,2024,56907.6,0.146,3037.8,0.097
1150063000,방화제1동,3,2024,79616.7,0.026,3502.9,0.066
1153051000,신도림동,77,2024,107152.6,0.157,4195.3,0.082
1153059500,가리봉동,3,2024,49833.3,0.011,2120.7,0.098
1153072000,고척제1동,93,2024,57528.5,0.159,2644.0,0.117
1153077000,오류제1동,50,2024,49930.0,0.174,2265.4,0.122
1153078000,오류제2동,5,2024,72260.0,0.011,2811.7,0.011
1153079000,수궁동,13,2024,65465.4,0.087,3196.2,0.094
1153080000,항동,34,2024,73914.7,0.123,3040.7,0.084
1154551000,가산동,11,2024,53190.9,0.21,2767.4,0.084
1154561000,독산제1동,106,2024,66821.2,0.178,3281.9,0.161
1156051500,영등포본동,235,2024,104281.1,0.138,4859.4,0.118
1156053500,영등포동,38,2024,87986.8,0.304,4763.5,0.147
1156054000,여의동,41,2024,244324.4,0.14,6171.1,0.118
1156055000,당산제1동,48,2024,79787.5,0.202,4239.7,0.086
1156056000,당산제2동,84,2024,120116.7,0.174,4910.1,0.117
1156058500,도림동,16,2024,83837.5,0.172,3832.5,0.072
1156060500,문래동,59,2024,97463.9,0.183,4197.2,0.11
1156061000,양평제1동,55,2024,85349.1,0.117,4053.5,0.081
1156062000,양평제2동,27,2024,82659.3,0.056,4245.0,0.042
1156067000,신길제5동,67,2024,71138.1,0.156,3573.7,0.125
1159051000,노량진제1동,78,2024,93723.1,0.132,4207.4,0.115
1159053000,상도제1동,1,2024,32500.0,0.0,2214.4,0.0
1159060500,흑석동,75,2024,147304.0,0.136,6046.6,0.126
1159063000,사당제2동,13,2024,121061.5,0.096,5285.4,0.109
1159065100,사당제5동,164,2024,102046.5,0.134,4498.2,0.127
1159066000,대방동,48,2024,66034.4,0.341,4272.7,0.094
1159067000,신대방제1동,70,2024,94523.6,0.124,4239.5,0.133
1162052500,보라매동,239,2024,74784.5,0.161,3487.3,0.112
1162063000,남현동,9,2024,73855.6,0.09,2749.4,0.111
1162064500,서원동,138,2024,58728.3,0.175,2729.9,0.125
1165053100,서초4동,127,2024,201222.4,0.288,7295.1,0.219
1165054000,잠원동,119,2024,250149.3,0.191,9738.1,0.146
1165058100,반포4동,157,2024,312143.3,0.208,11868.8,0.135
1165062100,방배4동,64,2024,184598.4,0.212,6302.5,0.169
1165065100,양재1동,50,2024,118132.0,0.146,5495.7,0.095
1165066000,내곡동,9,2024,135500.0,0.07,5615.3,0.067
1168052100,논현1동,35,2024,201981.8,0.32,7646.8,0.231
1168054500,압구정동,59,2024,492084.7,0.208,12037.7,0.096
1168056500,청담동,40,2024,238375.0,0.233,8059.8,0.191
